"Statistic Label","Year","Item","UNIT","VALUE"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","-5560"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","419"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2000","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-37"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","40451"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","36306"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","30213"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","6092"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1597"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","1050"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","250"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1249"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","39280"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","36227"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","10446"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","6348"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","2117"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1757"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1433"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","11108"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","1829"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1190"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net operating balance - ESA2010 Code  (NOB)","Euro Million","4224"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","3052"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","1171"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net acquisition of financial assets","Euro Million","2797"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","3284"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","-729"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","242"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net incurrence of liabilities","Euro Million","2024"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","2015"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","9"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2001","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-68"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","44010"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","39477"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","32730"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","6748"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","1900"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","969"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","183"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1480"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","44716"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","41299"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","11977"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","7222"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","2339"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1793"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1396"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","13124"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2313"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1135"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net operating balance - ESA2010 Code  (NOB)","Euro Million","2711"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","3417"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","-706"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net acquisition of financial assets","Euro Million","1243"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","-4642"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","5325"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","560"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net incurrence of liabilities","Euro Million","2430"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","1864"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","566"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2002","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-66"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","48056"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","43273"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","36009"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","7264"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","2215"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","789"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","185"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1595"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","47552"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","44735"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","13340"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","7634"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","2547"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1775"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1490"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","14154"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2645"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1152"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net operating balance - ESA2010 Code  (NOB)","Euro Million","3321"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","2817"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","504"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net acquisition of financial assets","Euro Million","2060"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","272"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","1462"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","326"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net incurrence of liabilities","Euro Million","1778"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","1754"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","24"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2003","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-35"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","53316"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","48111"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","40060"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","8051"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","2504"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","785"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","284"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1631"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","51287"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","48568"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","14494"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","8137"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","2788"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1714"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1540"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","15675"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","2840"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1381"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net operating balance - ESA2010 Code  (NOB)","Euro Million","4747"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","2719"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","2029"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net acquisition of financial assets","Euro Million","2981"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","897"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","1306"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","778"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net incurrence of liabilities","Euro Million","473"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","79"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","394"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2004","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-29"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","58913"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","53150"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","44394"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","8756"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","2860"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","940"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","266"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","1697"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","56238"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","53225"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","16566"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","7896"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3008"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1742"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1726"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","17845"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","3062"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1381"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net operating balance - ESA2010 Code  (NOB)","Euro Million","5688"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","3014"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","2675"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net acquisition of financial assets","Euro Million","4014"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","1633"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5)","Euro Million","914"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8)","Euro Million","1468"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net incurrence of liabilities","Euro Million","711"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4)","Euro Million","370"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)","Euro Million","341"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2005","Memo: Net derivative flows on debt interest swap contracts","Euro Million","-13"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - ESA2010 Code (TR)","Euro Million","67195"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61)","Euro Million","60268"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91)","Euro Million","50686"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Social contributions - ESA2010 Code (D61)","Euro Million","9582"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10)","Euro Million","3259"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Investment income - ESA2010 Code (D4)","Euro Million","1255"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7)","Euro Million","229"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N)","Euro Million","2184"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - ESA2010 Code (TE)","Euro Million","62063"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Expense - ESA2010 Code (Expense)","Euro Million","58252"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1)","Euro Million","18164"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29)","Euro Million","8781"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c)","Euro Million","3261"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41)","Euro Million","1850"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3)","Euro Million","1677"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632)","Euro Million","19921"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7)","Euro Million","3359"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9)","Euro Million","1238"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net operating balance - ESA2010 Code  (NOB)","Euro Million","8943"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c)","Euro Million","3811"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","General Government Surplus/Deficit - ESA2010 Code (B9)","Euro Million","5132"
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit","2006","Net acquisition of financial assets","Euro Million","3976"
